ijcam,lat,lon,ivt_igbp,ist,iso,landarea,Ndep,Nfix,Pwea, Pdust,doyP1,doyP2,doyP3,doyP4,Phase(1),ivcasa,ilat,ilo
166,40.74,2.5,17,-99,1,6120720384,0.41037,0.1,0,0,-99,-99,-99,-99,-99,-99,70,2
167,42.63,2.5,14,-99,1,28362856448,0.81435,0.1,0,0,-99,-99,-99,-99,-99,-99,71,2
168,44.53,2.5,14,-99,1,41755623424,1.17647,0.1,0,0,-99,-99,-99,-99,-99,-99,72,2
169,46.42,2.5,14,-99,1,40374853632,1.43834,0.1,0,0,-99,-99,-99,-99,-99,-99,73,2
170,48.32,2.5,12,-99,1,38949937152,1.83711,0.1,0,0,-99,-99,-99,-99,-99,-99,74,2
171,50.21,2.5,12,-99,1,35230130176,1.76328,0.1,0,0,-99,-99,-99,-99,-99,-99,75,2
172,52.11,2.5,17,-99,1,4871818240,0.89248,0.1,0,0,-99,-99,-99,-99,-99,-99,76,2
203,-71.05,5,15,-99,1,19017377792,0.00186,0.1,0,0,-99,-99,-99,-99,-99,-99,11,3
204,-69.16,5,17,-99,1,2480204288,0.00373,0.1,0,0,-99,-99,-99,-99,-99,-99,12,3
243,4.74,5,17,-99,1,14389524480,0.46962,0.1,0,0,-99,-99,-99,-99,-99,-99,51,3
244,6.63,5,2,-99,1,47904157696,0.54563,0.1,0,0,-99,-99,-99,-99,-99,-99,52,3
245,8.53,5,8,-99,1,57921855488,0.51356,0.1,0,0,-99,-99,-99,-99,-99,-99,53,3
246,10.42,5,9,-99,1,57603076096,0.47071,0.1,0,0,-99,-99,-99,-99,-99,-99,54,3
247,12.32,5,9,-99,1,57221304320,0.4335,0.1,0,0,-99,-99,-99,-99,-99,-99,55,3
248,14.21,5,10,-99,1,56776970240,0.29065,0.1,0,0,-99,-99,-99,-99,-99,-99,56,3
249,16.11,5,10,-99,1,56270544896,0.20581,0.1,0,0,-99,-99,-99,-99,-99,-99,57,3
250,18,5,16,-99,1,55702589440,0.10385,0.1,0,0,-99,-99,-99,-99,-99,-99,58,3
251,19.89,5,16,-99,1,55073726464,0.06862,0.1,0,0,-99,-99,-99,-99,-99,-99,59,3
252,21.79,5,16,-99,1,54384635904,0.06237,0.1,0,0,-99,-99,-99,-99,-99,-99,60,3
253,23.68,5,16,-99,1,53636083712,0.0624,0.1,0,0,-99,-99,-99,-99,-99,-99,61,3
254,25.58,5,16,-99,1,52828876800,0.0687,0.1,0,0,-99,-99,-99,-99,-99,-99,62,3
255,27.47,5,16,-99,1,51963904000,0.07508,0.1,0,0,-99,-99,-99,-99,-99,-99,63,3
256,29.37,5,16,-99,1,51042107392,0.08627,0.1,0,0,-99,-99,-99,-99,-99,-99,64,3
257,31.26,5,16,-99,1,50064498688,0.09971,0.1,0,0,-99,-99,-99,-99,-99,-99,65,3
258,33.16,5,16,-99,1,49032142848,0.1438,0.1,0,0,-99,-99,-99,-99,-99,-99,66,3
259,35.05,5,16,-99,1,47946174464,0.28543,0.1,0,0,-99,-99,-99,-99,-99,-99,67,3
260,36.95,5,17,-99,1,24211361792,0.47304,0.1,0,0,-99,-99,-99,-99,-99,-99,68,3
263,42.63,5,17,-99,1,4832195072,0.5689,0.1,0,0,-99,-99,-99,-99,-99,-99,71,3
264,44.53,5,14,-99,1,41755623424,0.98044,0.1,0,0,-99,-99,-99,-99,-99,-99,72,3
265,46.42,5,14,-99,1,40374853632,1.49503,0.1,0,0,-99,-99,-99,-99,-99,-99,73,3
266,48.32,5,12,-99,1,38949937152,1.96477,0.1,0,0,-99,-99,-99,-99,-99,-99,74,3
267,50.21,5,12,-99,1,37482426368,2.11272,0.1,0,0,-99,-99,-99,-99,-99,-99,75,3
268,52.11,5,12,-99,1,19822526464,1.54004,0.1,0,0,-99,-99,-99,-99,-99,-99,76,3
269,54,5,17,-99,1,219434976,0.73398,0.1,0,0,-99,-99,-99,-99,-99,-99,77,3
271,57.79,5,17,-99,1,128723176,0.66867,0.1,0,0,-99,-99,-99,-99,-99,-99,79,3
272,59.68,5,17,-99,1,7972056576,0.51168,0.1,0,0,-99,-99,-99,-99,-99,-99,80,3
273,61.58,5,17,-99,1,9340869632,0.38272,0.1,0,0,-99,-99,-99,-99,-99,-99,81,3
299,-71.05,7.5,15,-99,1,19017377792,0.00182,0.1,0,0,-99,-99,-99,-99,-99,-99,11,4
300,-69.16,7.5,17,-99,1,2480204288,0.00369,0.1,0,0,-99,-99,-99,-99,-99,-99,12,4
336,-0.95,7.5,17,-99,1,1238451968,0.33834,0.1,0,0,-99,-99,-99,-99,-99,-99,48,4
339,4.74,7.5,8,-99,1,36030693376,0.69941,0.1,0,0,-99,-99,-99,-99,-99,-99,51,4
340,6.63,7.5,8,-99,1,58177298432,0.71191,0.1,0,0,-99,-99,-99,-99,-99,-99,52,4
341,8.53,7.5,8,-99,1,57921855488,0.54309,0.1,0,0,-99,-99,-99,-99,-99,-99,53,4
342,10.42,7.5,9,-99,1,57603076096,0.47213,0.1,0,0,-99,-99,-99,-99,-99,-99,54,4
343,12.32,7.5,14,-99,1,57221304320,0.43963,0.1,0,0,-99,-99,-99,-99,-99,-99,55,4
344,14.21,7.5,10,-99,1,56776970240,0.27062,0.1,0,0,-99,-99,-99,-99,-99,-99,56,4
345,16.11,7.5,7,-99,1,56270544896,0.17317,0.1,0,0,-99,-99,-99,-99,-99,-99,57,4
346,18,7.5,7,-99,1,55702589440,0.11634,0.1,0,0,-99,-99,-99,-99,-99,-99,58,4
347,19.89,7.5,16,-99,1,55073726464,0.07682,0.1,0,0,-99,-99,-99,-99,-99,-99,59,4
348,21.79,7.5,16,-99,1,54384635904,0.06624,0.1,0,0,-99,-99,-99,-99,-99,-99,60,4
349,23.68,7.5,16,-99,1,53636083712,0.07135,0.1,0,0,-99,-99,-99,-99,-99,-99,61,4
350,25.58,7.5,16,-99,1,52828876800,0.07544,0.1,0,0,-99,-99,-99,-99,-99,-99,62,4
351,27.47,7.5,16,-99,1,51963904000,0.07727,0.1,0,0,-99,-99,-99,-99,-99,-99,63,4
352,29.37,7.5,16,-99,1,51042107392,0.08853,0.1,0,0,-99,-99,-99,-99,-99,-99,64,4
353,31.26,7.5,16,-99,1,50064498688,0.10764,0.1,0,0,-99,-99,-99,-99,-99,-99,65,4
354,33.16,7.5,16,-99,1,49032142848,0.13966,0.1,0,0,-99,-99,-99,-99,-99,-99,66,4
355,35.05,7.5,14,-99,1,47946174464,0.33714,0.1,0,0,-99,-99,-99,-99,-99,-99,67,4
356,36.95,7.5,17,-99,1,26990383104,0.52953,0.1,0,0,-99,-99,-99,-99,-99,-99,68,4
357,38.84,7.5,17,-99,1,1081350400,0.36841,0.1,0,0,-99,-99,-99,-99,-99,-99,69,4
358,40.74,7.5,17,-99,1,2399605504,0.41087,0.1,0,0,-99,-99,-99,-99,-99,-99,70,4
359,42.63,7.5,17,-99,1,5630099456,0.4957,0.1,0,0,-99,-99,-99,-99,-99,-99,71,4
360,44.53,7.5,14,-99,1,38684356608,1.18297,0.1,0,0,-99,-99,-99,-99,-99,-99,72,4
361,46.42,7.5,14,-99,1,40374853632,1.18009,0.1,0,0,-99,-99,-99,-99,-99,-99,73,4
362,48.32,7.5,14,-99,1,38949937152,1.6378,0.1,0,0,-99,-99,-99,-99,-99,-99,74,4
363,50.21,7.5,14,-99,1,37482426368,2.35508,0.1,0,0,-99,-99,-99,-99,-99,-99,75,4
364,52.11,7.5,14,-99,1,35755749376,2.15856,0.1,0,0,-99,-99,-99,-99,-99,-99,76,4
365,54,7.5,17,-99,1,10028325888,1.02501,0.1,0,0,-99,-99,-99,-99,-99,-99,77,4
366,55.89,7.5,17,-99,1,3488690432,0.79302,0.1,0,0,-99,-99,-99,-99,-99,-99,78,4
367,57.79,7.5,17,-99,1,8932859904,0.87565,0.1,0,0,-99,-99,-99,-99,-99,-99,79,4
368,59.68,7.5,6,-99,1,29563697152,0.62364,0.1,0,0,-99,-99,-99,-99,-99,-99,80,4
369,61.58,7.5,6,-99,1,27022016512,0.40415,0.1,0,0,-99,-99,-99,-99,-99,-99,81,4
370,63.47,7.5,17,-99,1,6512431616,0.2982,0.1,0,0,-99,-99,-99,-99,-99,-99,82,4
395,-71.05,10,15,-99,1,19017377792,0.00176,0.1,0,0,-99,-99,-99,-99,-99,-99,11,5
396,-69.16,10,17,-99,1,2480204288,0.00362,0.1,0,0,-99,-99,-99,-99,-99,-99,12,5
430,-4.74,10,17,-99,1,1675660800,0.4016,0.1,0,0,-99,-99,-99,-99,-99,-99,46,5
431,-2.84,10,17,-99,1,25416851456,0.44888,0.1,0,0,-99,-99,-99,-99,-99,-99,47,5
432,-0.95,10,2,-99,1,43469713408,0.43989,0.1,0,0,-99,-99,-99,-99,-99,-99,48,5
433,0.95,10,2,-99,1,40993177600,0.64192,0.1,0,0,-99,-99,-99,-99,-99,-99,49,5
434,2.84,10,2,-99,1,40953217024,0.857,0.1,0,0,-99,-99,-99,-99,-99,-99,50,5
435,4.74,10,8,-99,1,51665408000,0.70295,0.1,0,0,-99,-99,-99,-99,-99,-99,51,5
436,6.63,10,8,-99,1,58177298432,0.69523,0.1,0,0,-99,-99,-99,-99,-99,-99,52,5
437,8.53,10,8,-99,1,57921855488,0.59291,0.1,0,0,-99,-99,-99,-99,-99,-99,53,5
438,10.42,10,9,-99,1,57603076096,0.45694,0.1,0,0,-99,-99,-99,-99,-99,-99,54,5
439,12.32,10,14,-99,1,57221304320,0.42073,0.1,0,0,-99,-99,-99,-99,-99,-99,55,5
440,14.21,10,10,-99,1,56776970240,0.22625,0.1,0,0,-99,-99,-99,-99,-99,-99,56,5
441,16.11,10,16,-99,1,56270544896,0.11124,0.1,0,0,-99,-99,-99,-99,-99,-99,57,5
442,18,10,16,-99,1,55702589440,0.07343,0.1,0,0,-99,-99,-99,-99,-99,-99,58,5
443,19.89,10,16,-99,1,55073726464,0.06802,0.1,0,0,-99,-99,-99,-99,-99,-99,59,5
444,21.79,10,16,-99,1,54384635904,0.07275,0.1,0,0,-99,-99,-99,-99,-99,-99,60,5
445,23.68,10,16,-99,1,53636083712,0.07498,0.1,0,0,-99,-99,-99,-99,-99,-99,61,5
446,25.58,10,16,-99,1,52828876800,0.07971,0.1,0,0,-99,-99,-99,-99,-99,-99,62,5
447,27.47,10,16,-99,1,51963904000,0.08668,0.1,0,0,-99,-99,-99,-99,-99,-99,63,5
448,29.37,10,16,-99,1,51042107392,0.10435,0.1,0,0,-99,-99,-99,-99,-99,-99,64,5
449,31.26,10,16,-99,1,50064498688,0.13162,0.1,0,0,-99,-99,-99,-99,-99,-99,65,5
450,33.16,10,16,-99,1,41127514112,0.21486,0.1,0,0,-99,-99,-99,-99,-99,-99,66,5
451,35.05,10,17,-99,1,37697220608,0.47603,0.1,0,0,-99,-99,-99,-99,-99,-99,67,5
452,36.95,10,17,-99,1,22254120960,0.51332,0.1,0,0,-99,-99,-99,-99,-99,-99,68,5
453,38.84,10,17,-99,1,6836553728,0.37921,0.1,0,0,-99,-99,-99,-99,-99,-99,69,5
454,40.74,10,17,-99,1,9250853888,0.47391,0.1,0,0,-99,-99,-99,-99,-99,-99,70,5
455,42.63,10,17,-99,1,4781788160,0.5468,0.1,0,0,-99,-99,-99,-99,-99,-99,71,5
456,44.53,10,14,-99,1,33340430336,1.24915,0.1,0,0,-99,-99,-99,-99,-99,-99,72,5
457,46.42,10,14,-99,1,40374853632,1.24224,0.1,0,0,-99,-99,-99,-99,-99,-99,73,5
458,48.32,10,14,-99,1,38949937152,1.91926,0.1,0,0,-99,-99,-99,-99,-99,-99,74,5
459,50.21,10,14,-99,1,37482426368,2.20326,0.1,0,0,-99,-99,-99,-99,-99,-99,75,5
460,52.11,10,14,-99,1,35973931008,2.1179,0.1,0,0,-99,-99,-99,-99,-99,-99,76,5
461,54,10,14,-99,1,27187283968,1.67039,0.1,0,0,-99,-99,-99,-99,-99,-99,77,5
462,55.89,10,12,-99,1,28943888384,1.22977,0.1,0,0,-99,-99,-99,-99,-99,-99,78,5
463,57.79,10,17,-99,1,6270863360,0.80822,0.1,0,0,-99,-99,-99,-99,-99,-99,79,5
464,59.68,10,1,-99,1,25568479232,0.73678,0.1,0,0,-99,-99,-99,-99,-99,-99,80,5
465,61.58,10,1,-99,1,27875844096,0.45011,0.1,0,0,-99,-99,-99,-99,-99,-99,81,5
466,63.47,10,1,-99,1,20049891328,0.31803,0.1,0,0,-99,-99,-99,-99,-99,-99,82,5
467,65.37,10,17,-99,1,967148480,0.20811,0.1,0,0,-99,-99,-99,-99,-99,-99,83,5
474,78.63,10,17,-99,1,287712256,0.05112,0.1,0,0,-99,-99,-99,-99,-99,-99,90,5
491,-71.05,12.5,15,-99,1,19017377792,0.00172,0.1,0,0,-99,-99,-99,-99,-99,-99,11,6
492,-69.16,12.5,17,-99,1,4494669824,0.00355,0.1,0,0,-99,-99,-99,-99,-99,-99,12,6
518,-19.89,12.5,17,-99,1,18207281152,0.07548,0.1,0,0,-99,-99,-99,-99,-99,-99,38,6
519,-18,12.5,16,-99,1,40428347392,0.13069,0.1,0,0,-99,-99,-99,-99,-99,-99,39,6
520,-16.11,12.5,7,-99,1,45016428544,0.1722,0.1,0,0,-99,-99,-99,-99,-99,-99,40,6
521,-14.21,12.5,17,-99,1,25678428160,0.18464,0.1,0,0,-99,-99,-99,-99,-99,-99,41,6
522,-12.32,12.5,17,-99,1,7470763008,0.19156,0.1,0,0,-99,-99,-99,-99,-99,-99,42,6
523,-10.42,12.5,17,-99,1,7216300544,0.22208,0.1,0,0,-99,-99,-99,-99,-99,-99,43,6
524,-8.53,12.5,17,-99,1,20272640000,0.33298,0.1,0,0,-99,-99,-99,-99,-99,-99,44,6
525,-6.63,12.5,17,-99,1,23025285120,0.39913,0.1,0,0,-99,-99,-99,-99,-99,-99,45,6
526,-4.74,12.5,2,-99,1,48035819520,0.51148,0.1,0,0,-99,-99,-99,-99,-99,-99,46,6
527,-2.84,12.5,2,-99,1,58497126400,0.55586,0.1,0,0,-99,-99,-99,-99,-99,-99,47,6
528,-0.95,12.5,2,-99,1,58561163264,0.56345,0.1,0,0,-99,-99,-99,-99,-99,-99,48,6
529,0.95,12.5,2,-99,1,58561163264,0.8013,0.1,0,0,-99,-99,-99,-99,-99,-99,49,6
530,2.84,12.5,2,-99,1,58497126400,0.92652,0.1,0,0,-99,-99,-99,-99,-99,-99,50,6
531,4.74,12.5,2,-99,1,58369126400,0.73062,0.1,0,0,-99,-99,-99,-99,-99,-99,51,6
532,6.63,12.5,8,-99,1,58177298432,0.73736,0.1,0,0,-99,-99,-99,-99,-99,-99,52,6
533,8.53,12.5,8,-99,1,57921855488,0.64394,0.1,0,0,-99,-99,-99,-99,-99,-99,53,6
534,10.42,12.5,9,-99,1,57603076096,0.46787,0.1,0,0,-99,-99,-99,-99,-99,-99,54,6
535,12.32,12.5,9,-99,1,57221304320,0.39042,0.1,0,0,-99,-99,-99,-99,-99,-99,55,6
536,14.21,12.5,10,-99,1,56776970240,0.19483,0.1,0,0,-99,-99,-99,-99,-99,-99,56,6
537,16.11,12.5,16,-99,1,56270544896,0.0926,0.1,0,0,-99,-99,-99,-99,-99,-99,57,6
538,18,12.5,16,-99,1,55702589440,0.06976,0.1,0,0,-99,-99,-99,-99,-99,-99,58,6
539,19.89,12.5,16,-99,1,55073726464,0.06904,0.1,0,0,-99,-99,-99,-99,-99,-99,59,6
540,21.79,12.5,16,-99,1,54384635904,0.07746,0.1,0,0,-99,-99,-99,-99,-99,-99,60,6
541,23.68,12.5,16,-99,1,53636083712,0.07706,0.1,0,0,-99,-99,-99,-99,-99,-99,61,6
542,25.58,12.5,16,-99,1,52828876800,0.07982,0.1,0,0,-99,-99,-99,-99,-99,-99,62,6
543,27.47,12.5,16,-99,1,51963904000,0.09219,0.1,0,0,-99,-99,-99,-99,-99,-99,63,6
544,29.37,12.5,16,-99,1,51042107392,0.12864,0.1,0,0,-99,-99,-99,-99,-99,-99,64,6
545,31.26,12.5,16,-99,1,50064498688,0.18657,0.1,0,0,-99,-99,-99,-99,-99,-99,65,6
546,33.16,12.5,17,-99,1,19811883008,0.28455,0.1,0,0,-99,-99,-99,-99,-99,-99,66,6
548,36.95,12.5,17,-99,1,2503858432,0.41867,0.1,0,0,-99,-99,-99,-99,-99,-99,68,6
550,40.74,12.5,17,-99,1,4357948928,0.4656,0.1,0,0,-99,-99,-99,-99,-99,-99,70,6
551,42.63,12.5,14,-99,1,33877078016,1.09554,0.1,0,0,-99,-99,-99,-99,-99,-99,71,6
552,44.53,12.5,17,-99,1,30829791232,1.44796,0.1,0,0,-99,-99,-99,-99,-99,-99,72,6
553,46.42,12.5,14,-99,1,40374853632,1.45439,0.1,0,0,-99,-99,-99,-99,-99,-99,73,6
554,48.32,12.5,14,-99,1,38949937152,1.41525,0.1,0,0,-99,-99,-99,-99,-99,-99,74,6
555,50.21,12.5,14,-99,1,37482426368,1.58952,0.1,0,0,-99,-99,-99,-99,-99,-99,75,6
556,52.11,12.5,14,-99,1,35973931008,2.91612,0.1,0,0,-99,-99,-99,-99,-99,-99,76,6
557,54,12.5,14,-99,1,20056733696,2.11886,0.1,0,0,-99,-99,-99,-99,-99,-99,77,6
558,55.89,12.5,17,-99,1,23956080640,1.60518,0.1,0,0,-99,-99,-99,-99,-99,-99,78,6
559,57.79,12.5,1,-99,1,25784137728,1.42664,0.1,0,0,-99,-99,-99,-99,-99,-99,79,6
560,59.68,12.5,1,-99,1,29210441728,0.78779,0.1,0,0,-99,-99,-99,-99,-99,-99,80,6
561,61.58,12.5,1,-99,1,27875844096,0.45725,0.1,0,0,-99,-99,-99,-99,-99,-99,81,6
562,63.47,12.5,1,-99,1,26157506560,0.31827,0.1,0,0,-99,-99,-99,-99,-99,-99,82,6
563,65.37,12.5,17,-99,1,17289465856,0.22974,0.1,0,0,-99,-99,-99,-99,-99,-99,83,6
564,67.26,12.5,17,-99,1,1660355584,0.18611,0.1,0,0,-99,-99,-99,-99,-99,-99,84,6
570,78.63,12.5,15,-99,1,6608875008,0.0501,0.1,0,0,-99,-99,-99,-99,-99,-99,90,6
571,80.53,12.5,17,-99,1,604956992,0.03891,0.1,0,0,-99,-99,-99,-99,-99,-99,91,6
588,-69.16,15,17,-99,1,8235822080,0.00316,0.1,0,0,-99,-99,-99,-99,-99,-99,12,7
610,-27.47,15,17,-99,1,15181008896,0.05634,0.1,0,0,-99,-99,-99,-99,-99,-99,34,7
611,-25.58,15,17,-99,1,23772985344,0.06271,0.1,0,0,-99,-99,-99,-99,-99,-99,35,7
612,-23.68,15,16,-99,1,45524865024,0.07324,0.1,0,0,-99,-99,-99,-99,-99,-99,36,7
613,-21.79,15,7,-99,1,48946163712,0.10196,0.1,0,0,-99,-99,-99,-99,-99,-99,37,7
614,-19.89,15,7,-99,1,54768439296,0.17689,0.1,0,0,-99,-99,-99,-99,-99,-99,38,7
615,-18,15,7,-99,1,55702589440,0.25602,0.1,0,0,-99,-99,-99,-99,-99,-99,39,7
616,-16.11,15,9,-99,1,56270544896,0.38069,0.1,0,0,-99,-99,-99,-99,-99,-99,40,7
617,-14.21,15,9,-99,1,56776970240,0.40588,0.1,0,0,-99,-99,-99,-99,-99,-99,41,7
618,-12.32,15,9,-99,1,53633671168,0.47612,0.1,0,0,-99,-99,-99,-99,-99,-99,42,7
619,-10.42,15,8,-99,1,53904564224,0.64099,0.1,0,0,-99,-99,-99,-99,-99,-99,43,7
620,-8.53,15,8,-99,1,57921855488,0.71605,0.1,0,0,-99,-99,-99,-99,-99,-99,44,7
621,-6.63,15,8,-99,1,58177298432,0.61952,0.1,0,0,-99,-99,-99,-99,-99,-99,45,7
622,-4.74,15,8,-99,1,58369126400,0.51514,0.1,0,0,-99,-99,-99,-99,-99,-99,46,7
623,-2.84,15,8,-99,1,58497126400,0.58869,0.1,0,0,-99,-99,-99,-99,-99,-99,47,7
624,-0.95,15,2,-99,1,58561163264,0.83458,0.1,0,0,-99,-99,-99,-99,-99,-99,48,7
625,0.95,15,2,-99,1,58561163264,0.95314,0.1,0,0,-99,-99,-99,-99,-99,-99,49,7
626,2.84,15,2,-99,1,58497126400,0.88195,0.1,0,0,-99,-99,-99,-99,-99,-99,50,7
627,4.74,15,8,-99,1,58369126400,0.77201,0.1,0,0,-99,-99,-99,-99,-99,-99,51,7
628,6.63,15,8,-99,1,58177298432,0.75867,0.1,0,0,-99,-99,-99,-99,-99,-99,52,7
629,8.53,15,8,-99,1,57921855488,0.77014,0.1,0,0,-99,-99,-99,-99,-99,-99,53,7
630,10.42,15,9,-99,1,57603076096,0.60277,0.1,0,0,-99,-99,-99,-99,-99,-99,54,7
631,12.32,15,9,-99,1,57221304320,0.40162,0.1,0,0,-99,-99,-99,-99,-99,-99,55,7
632,14.21,15,10,-99,1,56776970240,0.24368,0.1,0,0,-99,-99,-99,-99,-99,-99,56,7
633,16.11,15,16,-99,1,56270544896,0.09942,0.1,0,0,-99,-99,-99,-99,-99,-99,57,7
634,18,15,16,-99,1,55702589440,0.07496,0.1,0,0,-99,-99,-99,-99,-99,-99,58,7
635,19.89,15,16,-99,1,55073726464,0.07504,0.1,0,0,-99,-99,-99,-99,-99,-99,59,7
636,21.79,15,16,-99,1,54384635904,0.08333,0.1,0,0,-99,-99,-99,-99,-99,-99,60,7
637,23.68,15,16,-99,1,53636083712,0.09036,0.1,0,0,-99,-99,-99,-99,-99,-99,61,7
638,25.58,15,16,-99,1,52828876800,0.0873,0.1,0,0,-99,-99,-99,-99,-99,-99,62,7
639,27.47,15,16,-99,1,51963904000,0.10228,0.1,0,0,-99,-99,-99,-99,-99,-99,63,7
640,29.37,15,16,-99,1,51042107392,0.14106,0.1,0,0,-99,-99,-99,-99,-99,-99,64,7
641,31.26,15,16,-99,1,44665032704,0.1964,0.1,0,0,-99,-99,-99,-99,-99,-99,65,7
642,33.16,15,17,-99,1,3633104896,0.25101,0.1,0,0,-99,-99,-99,-99,-99,-99,66,7
644,36.95,15,17,-99,1,12865727488,0.47159,0.1,0,0,-99,-99,-99,-99,-99,-99,68,7
645,38.84,15,17,-99,1,4278305280,0.43161,0.1,0,0,-99,-99,-99,-99,-99,-99,69,7
646,40.74,15,14,-99,1,28821741568,0.82946,0.1,0,0,-99,-99,-99,-99,-99,-99,70,7
