pt,ijgcm,tcount,time,lat,lon,veg,litlyr_unprotect_rhiz(LABILE),litlyr_unprotect_rhiz(RECALCTRNT),litlyr_unprotect_rhiz(DEADMICRB),litlyr_unprotect_bulk(LABILE),litlyr_unprotect_bulk(RECALCTRNT),litlyr_unprotect_bulk(DEADMICRB),litlyr_protect_rhiz(LABILE),litlyr_protect_rhiz(RECALCTRNT),litlyr_protect_rhiz(DEADMICRB),litlyr_protect_bulk(LABILE),litlyr_protect_bulk(RECALCTRNT),litlyr_protect_bulk(DEADMICRB),litlyr_livingMicrobeC_rhiz,litlyr_livingMicrobeC_bulk,litlyr_CO2_rhiz,litlyr_CO2_bulk,protection_rate,Qmax,litlyr_DOC(LABILE),litlyr_DOC(RECALCTRNT),litlyr_DOC(RECALCTRNT),soil_1_unprotect_rhiz(LABILE),soil_1_unprotect_rhiz(RECALCTRNT),soil_1_unprotect_rhiz(DEADMICRB),soil_1_unprotect_bulk(LABILE),soil_1_unprotect_bulk(RECALCTRNT),soil_1_unprotect_bulk(DEADMICRB),soil_1_protect_rhiz(LABILE),soil_1_protect_rhiz(RECALCTRNT),soil_1_protect_rhiz(DEADMICRB),soil_1_protect_bulk(LABILE),soil_1_protect_bulk(RECALCTRNT),soil_1_protect_bulk(DEADMICRB),soil_1_livingMicrobeC_rhiz,soil_1_livingMicrobeC_bulk,soil_1_CO2_rhiz,soil_1_CO2_bulk,protection_rate,Qmax,soil_1_DOC(LABILE),soil_1_DOC(RECALCTRNT),soil_1_DOC(RECALCTRNT)
    11,    59,  9980, 9980.00,   19.89,    0.00,    16,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          1.103835,          0.000000,          0.000000,          0.000000,
    12,    60,  9980, 9980.00,   21.79,    0.00,    16,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          1.079661,          0.000000,          0.000000,          0.000000,
    13,    61,  9980, 9980.00,   23.68,    0.00,    16,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          1.087174,          0.000000,          0.000000,          0.000000,
    14,    62,  9980, 9980.00,   25.58,    0.00,    16,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000006,          0.000013,          1.500000,          1.087194,          0.000000,          0.000000,          0.000000,
    15,    63,  9980, 9980.00,   27.47,    0.00,    16,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000001,          0.000000,          0.000000,          0.000000,          0.000001,          0.000000,          0.000000,          0.000003,          0.000000,          0.000000,          0.000589,          0.001227,          1.500000,          1.087155,          0.000000,          0.000000,          0.000000,
    16,    64,  9980, 9980.00,   29.37,    0.00,    16,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000032,          0.000898,          0.000044,          0.000067,          0.002387,          0.000095,          0.000258,          0.000150,          0.003588,          0.000552,          0.000402,          0.007820,          0.000014,          0.000028,          0.920679,          1.927322,          1.500000,          0.766648,          0.000000,          0.000000,          0.000000,
    17,    65,  9980, 9980.00,   31.26,    0.00,    16,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          1.527716,          0.000000,          0.000000,          0.000000,
    18,    66,  9980, 9980.00,   33.16,    0.00,    16,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000012,          0.000492,          0.000019,          0.000023,          0.001165,          0.000037,          0.000213,          0.000158,          0.003074,          0.000420,          0.000375,          0.006150,          0.000059,          0.000117,          4.665834,          9.938899,          1.500000,          1.459604,          0.000000,          0.000000,          0.000000,
    19,    67,  9980, 9980.00,   35.05,    0.00,    14,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000745,          0.037713,          0.001978,          0.001541,          0.088454,          0.004263,          0.026061,          0.012383,          0.371219,          0.055319,          0.029051,          0.791918,          0.005799,          0.012418,        439.991178,        966.790277,          1.500000,          1.514761,          0.000000,          0.000000,          0.000000,
    20,    68,  9980, 9980.00,   36.95,    0.00,    17,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          1.551078,          0.000000,          0.000000,          0.000000,
    21,    69,  9980, 9980.00,   38.84,    0.00,    17,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          1.466748,          0.000000,          0.000000,          0.000000,
    22,    70,  9980, 9980.00,   40.74,    0.00,    12,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.002322,          0.090678,          0.003720,          0.004915,          0.213242,          0.007976,          0.040227,          0.028465,          0.571388,          0.085466,          0.066964,          1.221892,          0.011749,          0.025023,        760.449866,       1679.755923,          1.500000,          1.466722,          0.000000,          0.000000,          0.000000,
    23,    71,  9980, 9980.00,   42.63,    0.00,    14,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.013758,          0.314924,          0.015862,          0.029640,          0.739656,          0.034332,          0.159285,          0.102190,          2.178975,          0.343310,          0.240003,          4.720112,          0.038609,          0.083254,       2668.815508,       5918.051856,          1.500000,          1.452943,          0.000000,          0.000000,          0.000000,
    24,    72,  9980, 9980.00,   44.53,    0.00,    14,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.012057,          0.493867,          0.020119,          0.025948,          1.163479,          0.043564,          0.159961,          0.090023,          1.925015,          0.346558,          0.212083,          4.170179,          0.049991,          0.107450,       2897.691978,       6416.989063,          1.500000,          0.804039,          0.000000,          0.000000,          0.000000,
    25,    73,  9980, 9980.00,   46.42,    0.00,    14,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.011543,          0.324342,          0.015583,          0.024781,          0.761546,          0.033670,          0.164389,          0.103466,          2.285894,          0.353539,          0.242935,          4.941331,          0.045377,          0.097587,       2941.100162,       6514.286650,          1.500000,          1.428263,          0.000000,          0.000000,          0.000000,
    26,    74,  9980, 9980.00,   48.32,    0.00,    12,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.012250,          0.446959,          0.016615,          0.026202,          1.052322,          0.035887,          0.170975,          0.142876,          2.396323,          0.366292,          0.336416,          5.170265,          0.044615,          0.095806,       3238.803379,       7187.466433,          1.500000,          1.427300,          0.000000,          0.000000,          0.000000,
    27,    75,  9980, 9980.00,   50.21,    0.00,    17,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          1.449177,          0.000000,          0.000000,          0.000000,
    28,    76,  9980, 9980.00,   52.11,    0.00,    12,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.007488,          0.285078,          0.009877,          0.016081,          0.671574,          0.021385,          0.106979,          0.096462,          1.491077,          0.229680,          0.227296,          3.223891,          0.026439,          0.056930,       1871.293343,       4157.909998,          1.500000,          1.536379,          0.000000,          0.000000,          0.000000,
    29,    77,  9980, 9980.00,   54.00,    0.00,    17,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          1.632569,          0.000000,          0.000000,          0.000000,
    30,   106,  9980, 9980.00,  -72.95,    2.50,    15,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          1.289157,          0.000000,          0.000000,          0.000000,
    31,   108,  9980, 9980.00,  -69.16,    2.50,    17,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          1.289157,          0.000000,          0.000000,          0.000000,
    32,   148,  9980, 9980.00,    6.63,    2.50,     8,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          0.000000,          1.500000,          0.000000,          0.000000,          0.000000,          0.000000,          0.005372,          0.102922,          0.007820,          0.010526,          0.242212,          0.015021,          0.112064,          0.043203,          1.662497,          0.207723,          0.101728,          3.129180,          0.028676,          0.055411,       1860.022855,       3800.668834,          1.500000,          1.947602,          0.000000,          0.000000,          0.000000,
